RECORD_ID,MSISDN,IMSI,IMEI,PRIVATE_IP,PUBLIC_IP,DEST_IP,DEST_PORT,APP_TYPE,START_TIME,END_TIME,DATA_UP,DATA_DOWN,CELL_ID,B_PARTY_MSISDN,SESSION_DURATION,LAT,LON
REC_000017,918764511339,40531802907061,790632971506826,192.168.128.201,14.122.49.171,151.222.29.198,5223,WhatsApp,2025-08-26 18:40:00.963175,2025-08-26 19:28:27.963175,13732,91928,CELL_0039,918080785702,2907,28.75834391801524,76.78952402546452
REC_000018,918447425359,40523476888272,490533634329663,192.168.32.219,200.55.25.21,165.253.246.199,22,SSH,2025-08-17 21:14:00.963175,2025-08-17 21:50:41.963175,15207,125320,CELL_0097,918080785702,2201,28.8484197899417,77.58565673118379
REC_000019,919713217252,40573991456183,177665847878064,192.168.234.131,45.194.242.114,227.234.65.154,5223,WhatsApp,2025-08-07 19:24:00.963175,2025-08-07 19:40:20.963175,36292,83808,CELL_0100,918389720476,980,29.01221297772164,77.63298657776554
REC_000020,918563524436,40567532176189,538922367213724,192.168.44.199,151.222.29.198,16.50.236.186,25,SMTP,2025-08-20 15:57:00.963175,2025-08-20 16:29:16.963175,38413,179272,CELL_0096,919454821392,1936,28.979050926047027,77.34102262409515
REC_000021,919129691272,40576781065756,454514056414234,192.168.130.108,206.25.244.98,153.190.240.86,22,SSH,2025-08-27 00:54:00.963175,2025-08-27 01:38:33.963175,25954,77408,CELL_0096,918080785702,2673,28.227920888401787,76.83761344450068
REC_000022,919607827695,40592510929641,834226044607195,192.168.120.228,109.120.121.245,206.206.255.205,443,HTTPS/Skype,2025-08-02 03:48:00.963175,2025-08-02 04:43:02.963175,48926,99034,CELL_0012,917276152776,3302,28.83682433769059,77.63932959737711
REC_000023,918989242136,40599349303010,291132034013323,192.168.245.106,23.62.177.130,5.184.36.232,22,SSH,2025-08-07 13:44:00.963175,2025-08-07 14:29:49.963175,31391,131822,CELL_0059,,2749,28.622205089863122,77.31503591418736
REC_000024,917280305443,40527304751277,148158158226725,192.168.190.35,214.138.208.117,59.208.50.137,993,IMAPS,2025-08-22 12:51:00.963175,2025-08-22 13:47:35.963175,22789,138595,CELL_0048,,3395,28.483949146647024,77.11710117747258
REC_000025,917280305443,40596295318118,698329939880745,192.168.202.27,91.72.197.218,109.213.161.124,80,HTTP,2025-08-09 19:13:00.963175,2025-08-09 19:46:56.963175,15020,33489,CELL_0020,,2036,28.956903806173024,77.3498923182523
REC_000026,919329185981,40530461197022,745330629045624,192.168.10.244,95.84.175.219,19.25.109.235,1935,Facebook,2025-08-09 14:59:00.963175,2025-08-09 15:58:19.963175,34758,26492,CELL_0087,918563524436,3559,28.442952336931597,76.7625973778442
REC_000027,919129691272,40591723361052,757460173875723,192.168.61.214,166.106.175.204,7.108.227.74,1935,Facebook,2025-08-22 10:41:00.963175,2025-08-22 11:35:38.963175,3571,111633,CELL_0003,919454821392,3278,28.467297838734943,77.16016696789265
REC_000028,919311996447,40534959347269,269591953841823,192.168.77.123,84.209.234.245,84.230.91.38,1935,Facebook,2025-08-03 21:09:00.963175,2025-08-03 22:03:08.963175,22046,96627,CELL_0067,,3248,28.68361186413716,77.51178702618377
REC_000029,918838803826,40579227296232,641981738893106,192.168.190.35,145.175.105.19,226.216.13.100,25,SMTP,2025-08-10 06:10:00.963175,2025-08-10 06:33:21.963175,28525,137294,CELL_0050,,1401,28.12344147693167,76.78360980577345
REC_000030,919129691272,40544743025521,464473954254703,192.168.225.206,244.211.10.151,113.150.160.44,80,HTTP,2025-08-12 16:39:00.963175,2025-08-12 17:11:28.963175,37087,174489,CELL_0007,919746498770,1948,28.16844447486344,76.91215859419678
REC_000031,917276152776,40561410415275,366098468641453,192.168.52.238,91.152.44.63,159.174.20.237,5223,WhatsApp,2025-08-14 00:23:00.963175,2025-08-14 00:55:41.963175,11656,29888,CELL_0027,918447425359,1961,28.88646084002578,77.68266895211666
REC_000032,918893922290,40578293964658,147940616383331,192.168.234.131,159.104.125.96,174.223.92.41,21,FTP,2025-08-01 19:17:00.963175,2025-08-01 19:45:41.963175,4726,96087,CELL_0041,,1721,28.705973965066804,77.19081623491664
REC_000033,919161399393,40533750023260,702666789157386,192.168.2.207,19.216.208.220,77.129.71.110,25,SMTP,2025-08-11 09:37:00.963175,2025-08-11 10:11:17.963175,22257,58449,CELL_0095,,2057,28.173938970941947,77.64094895645897
REC_000034,918282636116,40574952031416,869210526131129,192.168.167.19,19.25.109.235,217.242.31.243,5223,WhatsApp,2025-08-24 13:51:00.963175,2025-08-24 14:26:35.963175,23283,176190,CELL_0035,,2135,28.12677677176469,76.92209096546856
REC_000035,918764511339,40537718651159,966145280279481,192.168.230.204,211.139.127.104,220.208.243.56,25,SMTP,2025-08-01 23:56:00.963175,2025-08-02 00:31:41.963175,11884,154893,CELL_0061,,2141,28.982429787925795,77.02234496034622
REC_000036,919821036399,40515581983854,883112531344837,192.168.211.6,136.103.105.50,151.237.207.143,993,IMAPS,2025-08-03 06:14:00.963175,2025-08-03 07:06:57.963175,18744,169509,CELL_0007,,3177,28.53908477366098,77.65001392819222
REC_000037,917276152776,40539636634547,677229251400655,192.168.48.26,10.238.46.117,82.77.12.111,22,SSH,2025-08-08 04:28:00.963175,2025-08-08 04:59:03.963175,17594,122804,CELL_0021,,1863,28.264594779880365,77.23511214302486
REC_000038,917884943392,40597380385324,922211526989175,192.168.87.145,242.98.217.181,46.235.68.30,5223,WhatsApp,2025-08-23 17:14:00.963175,2025-08-23 17:20:47.963175,3919,94671,CELL_0048,917279281688,407,28.14568461169238,77.20701566415624
REC_000039,918447425359,40531648307481,471749827262427,192.168.198.161,82.77.12.111,80.211.42.223,80,HTTP,2025-08-03 02:48:00.963175,2025-08-03 03:00:55.963175,22964,39574,CELL_0031,,775,28.3826256593328,77.47659992600386
REC_000040,918618784046,40534951904700,949201484758390,192.168.201.5,9.52.93.48,48.153.96.178,993,IMAPS,2025-08-11 05:30:00.963175,2025-08-11 06:27:49.963175,26606,119850,CELL_0026,,3469,28.96520864209105,77.14418050478136
REC_000041,917279281688,40559175099753,462179725337943,192.168.225.206,153.190.240.86,78.107.51.107,5223,WhatsApp,2025-08-18 09:45:00.963175,2025-08-18 10:34:24.963175,28935,80416,CELL_0020,,2964,28.724145856486505,77.09290169966475
REC_000042,919746498770,40589850068279,883908642038286,192.168.90.44,195.231.29.115,152.220.239.141,21,FTP,2025-08-18 09:23:00.963175,2025-08-18 09:34:47.963175,1054,20257,CELL_0019,917128609640,707,28.19819802813891,76.82130309496411
REC_000043,919607827695,40549512034858,549526740440713,192.168.254.145,71.179.70.132,213.174.232.110,21,FTP,2025-07-29 06:47:00.963175,2025-07-29 07:44:12.963175,10652,79150,CELL_0057,,3432,28.478932704409917,76.90679146927815
REC_000044,918685828255,40540583465423,758907203024809,192.168.225.214,72.248.109.146,174.38.242.63,5223,WhatsApp,2025-07-28 22:23:00.963175,2025-07-28 23:02:45.963175,11895,141630,CELL_0026,,2385,28.705534606887056,76.81201451007604
REC_000045,919638452758,40557476636830,368160775968777,192.168.143.117,85.181.210.178,217.116.196.66,21,FTP,2025-08-05 06:28:00.963175,2025-08-05 07:19:51.963175,12410,117602,CELL_0020,,3111,29.021822520669566,77.43964922265373
REC_000046,918389720476,40552358491880,902365182067761,192.168.42.233,46.215.208.82,122.80.224.21,1935,Facebook,2025-08-25 03:54:00.963175,2025-08-25 04:36:30.963175,10888,135620,CELL_0002,,2550,29.03310698916278,77.3660140535125
REC_000047,919311996447,40596022893058,694896737391410,192.168.190.35,206.25.244.98,253.71.68.247,993,IMAPS,2025-08-18 08:21:00.963175,2025-08-18 08:27:45.963175,48096,23977,CELL_0057,,405,28.617388309448074,77.66449304082072
REC_000048,917280305443,40553428104844,500637797908469,192.168.203.218,195.231.29.115,90.124.50.8,21,FTP,2025-08-19 16:01:00.963175,2025-08-19 16:06:56.963175,42395,91208,CELL_0024,,356,28.90676962978694,77.54624562204901
REC_000049,919129691272,40569535428065,545651813130684,192.168.191.83,195.95.149.129,153.190.240.86,80,HTTP,2025-08-06 09:00:00.963175,2025-08-06 09:51:52.963175,29691,52832,CELL_0049,,3112,28.598261249477822,77.0864681639037
REC_000050,917161136344,40591752668546,561567071060377,192.168.130.108,195.95.149.129,10.238.46.117,21,FTP,2025-07-30 23:51:00.963175,2025-07-31 00:13:05.963175,2687,10781,CELL_0091,,1325,28.483648006077864,76.72889904690851
REC_000051,919746498770,40590531718419,453799279706363,192.168.209.9,14.82.60.69,116.36.222.73,5223,WhatsApp,2025-08-18 07:13:00.963175,2025-08-18 07:30:06.963175,38166,94851,CELL_0061,,1026,28.29729661260731,77.01910723598635
REC_000052,917242910243,40588985606814,338026891943364,192.168.97.123,174.223.92.41,50.3.158.219,1935,Facebook,2025-08-04 06:36:00.963175,2025-08-04 07:00:59.963175,20226,152428,CELL_0034,918563524436,1499,28.517136460634795,76.82629568194905
REC_000053,919311996447,40519127384312,883474450563756,192.168.201.5,5.184.36.232,90.124.50.8,443,HTTPS/Skype,2025-08-04 07:31:00.963175,2025-08-04 08:17:23.963175,18422,93532,CELL_0028,917161136344,2783,28.782249539169836,77.46953875925605
REC_000054,919984161007,40572825759888,889790511993618,192.168.55.223,200.55.25.21,10.238.46.117,25,SMTP,2025-08-07 14:04:00.963175,2025-08-07 14:34:17.963175,22910,28251,CELL_0025,,1817,28.814870448639557,77.30492101047749
REC_000055,919161399393,40565790654897,705385554362806,192.168.209.9,31.106.157.162,23.62.177.130,21,FTP,2025-08-05 22:35:00.963175,2025-08-05 23:19:05.963175,11277,13700,CELL_0073,918893922290,2645,28.248760057173367,77.56345524633285
REC_000056,919645196062,40524922117834,362223018997758,192.168.202.27,57.135.155.38,254.119.236.197,993,IMAPS,2025-08-11 13:55:00.963175,2025-08-11 14:10:36.963175,19681,108428,CELL_0013,,936,28.60760778114374,76.8246068032491
REC_000057,919311996447,40540248665312,936774649939791,192.168.37.149,91.152.44.63,23.241.85.82,21,FTP,2025-08-06 11:10:00.963175,2025-08-06 11:55:21.963175,43272,128475,CELL_0060,,2721,28.353572932013794,77.11644832113467
REC_000058,919599996959,40546965491856,943307864083487,192.168.128.201,134.62.240.249,237.177.121.6,25,SMTP,2025-08-09 07:37:00.963175,2025-08-09 07:57:39.963175,14806,60553,CELL_0004,,1239,28.97967058480525,77.44745263819611
REC_000059,918442313267,40533836721891,437712873473403,192.168.120.228,209.83.99.57,184.2.118.164,1935,Facebook,2025-08-15 15:53:00.963175,2025-08-15 16:16:59.963175,19040,170993,CELL_0022,,1439,29.015690824588535,77.15360069617162
REC_000060,918447425359,40524957385484,896497861885569,192.168.87.145,82.77.12.111,19.25.109.235,22,SSH,2025-08-26 12:27:00.963175,2025-08-26 13:25:43.963175,5277,184221,CELL_0086,,3523,28.74306813642042,77.51237749369749
REC_000061,918389720476,40513896314532,766284618760301,192.168.86.237,183.239.138.230,12.112.51.218,1935,Facebook,2025-08-12 05:28:00.963175,2025-08-12 06:25:49.963175,7916,178930,CELL_0084,,3469,28.79112374742517,76.8197239676758
REC_000062,917404149892,40591275166742,692970494623803,192.168.138.238,23.241.85.82,217.23.220.89,5223,WhatsApp,2025-07-30 18:09:00.963175,2025-07-30 18:34:50.963175,39833,69372,CELL_0086,917242910243,1550,28.657118069222783,77.18747799657451
REC_000063,917404149892,40526560916842,987771262963545,192.168.72.152,132.231.92.171,122.80.224.21,5223,WhatsApp,2025-08-08 18:19:00.963175,2025-08-08 18:44:11.963175,45251,53793,CELL_0010,,1511,29.0358597781352,76.72186283540205
REC_000064,918764694871,40548106698082,791573892642125,192.168.77.224,109.213.161.124,220.51.110.67,443,HTTPS/Skype,2025-08-08 08:49:00.963175,2025-08-08 09:47:25.963175,22669,5489,CELL_0061,918764511339,3505,28.849316592006446,76.81735930504942
REC_000065,917280305443,40527341704342,106851361777930,192.168.167.19,114.254.155.80,91.152.44.63,5223,WhatsApp,2025-08-14 09:55:00.963175,2025-08-14 09:57:11.963175,4930,15902,CELL_0025,,131,28.271482539330357,77.39659057575996
REC_000066,919454821392,40525665266582,468737266788815,192.168.201.5,119.110.185.176,50.3.158.219,25,SMTP,2025-08-10 15:07:00.963175,2025-08-10 15:50:08.963175,2982,138454,CELL_0084,918242883741,2588,28.76815716347851,77.48023663702106
REC_000067,918730941466,40522917981672,513432172087203,192.168.143.117,213.174.232.110,174.38.242.63,21,FTP,2025-08-17 12:29:00.963175,2025-08-17 12:58:41.963175,18715,180428,CELL_0031,919311996447,1781,28.319112243722437,77.58280056808292
REC_000068,917128609640,40569494919768,915501019127367,192.168.102.67,107.133.156.142,122.219.181.10,993,IMAPS,2025-08-14 02:51:00.963175,2025-08-14 02:57:41.963175,33904,127686,CELL_0094,,401,28.8198751566645,76.72811072706055
REC_000069,917693633801,40542299555617,623848569739579,192.168.226.157,252.29.113.232,46.215.208.82,993,IMAPS,2025-08-18 18:17:00.963175,2025-08-18 18:48:57.963175,5318,98684,CELL_0070,918618784046,1917,29.110878999314295,77.05642139551111
REC_000070,918288764667,40588231591674,199317201588132,192.168.70.48,61.71.244.195,107.218.132.132,25,SMTP,2025-08-01 19:16:00.963175,2025-08-01 20:12:09.963175,38151,92252,CELL_0023,919746498770,3369,28.6203392410909,76.77483844783531
REC_000071,918242883741,40582090837098,591138000033683,192.168.173.233,7.108.227.74,223.158.45.146,5223,WhatsApp,2025-08-07 10:32:00.963175,2025-08-07 10:48:31.963175,12136,81624,CELL_0023,,991,28.286533993112247,77.01724090719019
REC_000072,918764694871,40562458426002,718001939592275,192.168.190.35,56.22.8.13,240.11.209.137,443,HTTPS/Skype,2025-07-31 19:35:00.963175,2025-07-31 19:44:29.963175,8751,104988,CELL_0013,,569,28.969770253000384,77.11357976641149
REC_000073,919638452758,40538881351969,645778402744417,192.168.96.49,181.221.191.133,98.150.109.91,1935,Facebook,2025-08-24 12:55:00.963175,2025-08-24 13:02:31.963175,16063,78819,CELL_0073,918442313267,451,28.244596700273355,77.44321679758811
REC_000074,917693633801,40552720878482,770973288095616,192.168.135.67,155.219.181.193,241.51.16.5,21,FTP,2025-08-07 14:02:00.963175,2025-08-07 14:29:52.963175,19807,150171,CELL_0048,,1672,28.8345718476382,77.13107200642702
REC_000075,918242883741,40545847021031,223877871552733,192.168.86.237,93.156.133.153,217.116.196.66,25,SMTP,2025-08-24 16:43:00.963175,2025-08-24 16:57:17.963175,24955,125997,CELL_0013,,857,28.611109914289035,77.33715505937577
REC_000076,917884943392,40594529414909,518026352506261,192.168.80.121,19.25.109.235,109.37.115.14,993,IMAPS,2025-08-26 17:05:00.963175,2025-08-26 17:46:54.963175,9696,77844,CELL_0046,,2514,28.995095726360873,77.17309962136312
REC_000077,917478483262,40525984745232,629277903810771,192.168.16.45,254.119.236.197,136.103.105.50,5223,WhatsApp,2025-08-06 04:46:00.963175,2025-08-06 05:31:43.963175,22147,183371,CELL_0051,,2743,28.864829350389346,76.74832411171155
REC_000078,918563524436,40533797855228,947793706633201,192.168.192.77,85.181.210.178,153.118.32.34,443,HTTPS/Skype,2025-08-02 10:01:00.963175,2025-08-02 10:09:06.963175,47916,19649,CELL_0082,,486,28.855369325460035,77.61132305983625
REC_000079,919129691272,40517225189561,170880552847193,192.168.192.77,206.25.244.98,220.208.243.56,25,SMTP,2025-08-12 12:08:00.963175,2025-08-12 12:23:41.963175,18525,80859,CELL_0005,,941,28.526001852286488,76.96404643479303
REC_000080,919129691272,40549539918470,252891816844700,192.168.155.125,19.25.109.235,220.125.133.3,5223,WhatsApp,2025-07-31 10:56:00.963175,2025-07-31 11:06:14.963175,38126,51649,CELL_0026,,614,28.33379281173177,77.65169209150758
REC_000081,918389720476,40575956959104,295736332187445,192.168.241.173,145.175.105.19,5.184.36.232,80,HTTP,2025-08-21 05:18:00.963175,2025-08-21 05:48:34.963175,5983,63699,CELL_0036,,1834,28.164409292786125,76.92294500085693
REC_000082,918282636116,40584034696816,670923354466879,192.168.77.123,196.129.237.172,151.222.29.198,1935,Facebook,2025-08-07 16:28:00.963175,2025-08-07 17:02:02.963175,12175,128739,CELL_0004,918685828255,2042,28.795070685546573,77.6506789724369
REC_000083,918282636116,40519946509025,513224291296256,192.168.191.83,12.112.51.218,119.110.185.176,80,HTTP,2025-08-05 10:08:00.963175,2025-08-05 10:53:31.963175,23685,183382,CELL_0028,,2731,28.748113832733118,77.38693061393369
REC_000084,917636365899,40580251342196,295620943518428,192.168.77.224,79.248.221.254,25.130.92.246,5223,WhatsApp,2025-08-19 06:53:00.963175,2025-08-19 07:06:39.963175,49273,130855,CELL_0070,,819,28.48162419263328,77.3510724338491
REC_000085,917279281688,40579473899639,786881803482597,192.168.10.74,153.190.240.86,181.104.100.223,443,HTTPS/Skype,2025-08-08 04:58:00.963175,2025-08-08 05:18:32.963175,10140,95979,CELL_0065,918242883741,1232,28.844165948851206,77.46375071982204
REC_000086,919332451458,40549897112161,973287403885577,192.168.138.238,166.106.175.204,128.192.99.135,80,HTTP,2025-08-25 11:43:00.963175,2025-08-25 12:26:15.963175,47106,105914,CELL_0064,919645196062,2595,28.468390630673404,76.878966323874
REC_000087,918080785702,40522143802219,250341788126193,192.168.158.84,153.243.46.98,114.254.155.80,25,SMTP,2025-08-11 12:43:00.963175,2025-08-11 12:55:16.963175,5488,56130,CELL_0028,,736,28.835454630212087,77.28460823241683
REC_000088,919329185981,40579727650260,973106425341921,192.168.56.56,242.98.217.181,129.125.62.169,993,IMAPS,2025-08-13 05:59:00.963175,2025-08-13 06:02:05.963175,32347,50470,CELL_0002,,185,28.39067355121048,76.72759612931974
REC_000089,918618784046,40516721525465,140335308963155,192.168.15.172,39.231.163.88,66.104.240.188,5223,WhatsApp,2025-07-31 03:15:00.963175,2025-07-31 03:37:49.963175,9867,176948,CELL_0083,918685828255,1369,28.17420008464716,77.1691461119381
REC_000090,919635200219,40598559930003,943623914137799,192.168.72.152,190.69.90.89,190.69.90.89,993,IMAPS,2025-08-12 14:42:00.963175,2025-08-12 14:58:43.963175,19431,102836,CELL_0100,,1003,28.26670034609528,76.94372828460902
REC_000091,919984161007,40546030477972,298173143394241,192.168.17.6,157.68.193.120,136.103.105.50,22,SSH,2025-08-14 00:09:00.963175,2025-08-14 00:59:09.963175,6568,23606,CELL_0053,919129691272,3009,29.058531420059882,77.18212309250744
REC_000092,918563524436,40543116380055,857684944999453,192.168.151.61,98.150.109.91,235.142.16.111,25,SMTP,2025-08-06 08:24:00.963175,2025-08-06 08:29:20.963175,46490,168443,CELL_0048,,320,28.497712150319067,77.6017013287886
REC_000093,919599996959,40553705405899,768699647771979,192.168.213.161,104.133.19.64,14.122.49.171,22,SSH,2025-07-30 01:13:00.963175,2025-07-30 01:37:51.963175,33258,188113,CELL_0056,919337353022,1491,28.58115184778318,77.3785407606392
REC_000094,917242910243,40573600488109,185343289093503,192.168.155.125,182.162.7.183,113.150.160.44,22,SSH,2025-07-28 11:39:00.963175,2025-07-28 11:46:44.963175,18417,83265,CELL_0051,,464,28.341292732742364,77.0234619837538
REC_000095,918838803826,40544277166597,240464171839007,192.168.114.51,136.185.175.147,181.221.191.133,21,FTP,2025-08-05 23:58:00.963175,2025-08-06 00:35:16.963175,39959,27640,CELL_0064,917693633801,2236,28.596105729772717,77.28802450649415
REC_000096,918847386442,40596114575786,900612156661709,192.168.173.233,215.61.165.138,107.133.156.142,22,SSH,2025-07-28 18:19:00.963175,2025-07-28 18:31:45.963175,33737,67007,CELL_0009,,765,28.834952801231026,77.26818725430392
REC_000097,918875868182,40530687905791,613219032667249,192.168.225.214,115.176.142.51,71.179.70.132,80,HTTP,2025-08-16 21:20:00.963175,2025-08-16 21:43:41.963175,3336,144871,CELL_0052,,1421,28.79486532045904,76.91482508741456
REC_000098,918618784046,40591824508809,831124323043727,192.168.77.113,206.206.255.205,225.161.62.43,80,HTTP,2025-08-22 10:49:00.963175,2025-08-22 11:12:10.963175,14338,73908,CELL_0043,,1390,28.771061842087082,77.19484399242704
REC_000099,918373757683,40560326126395,245911159975990,192.168.255.184,127.248.210.42,233.87.111.58,22,SSH,2025-08-12 17:23:00.963175,2025-08-12 18:07:29.963175,24734,165816,CELL_0100,919337353022,2669,28.73283143384092,77.30916508438662
REC_000100,917418203245,40545760586239,858883912792690,192.168.130.108,122.219.181.10,74.166.153.137,993,IMAPS,2025-08-04 17:00:00.963175,2025-08-04 17:57:54.963175,21045,143361,CELL_0042,,3474,28.55821128621879,77.49170388277652
REC_000101,918847386442,40534310627033,265046884270961,192.168.134.38,110.194.210.192,209.83.99.57,22,SSH,2025-08-27 05:27:00.963175,2025-08-27 05:57:35.963175,46738,52068,CELL_0034,,1835,28.960881322421454,76.7710820546464
REC_000102,919454821392,40592936469184,588308753133740,192.168.21.215,253.71.68.247,136.103.105.50,80,HTTP,2025-08-04 02:37:00.963175,2025-08-04 03:01:14.963175,19052,30533,CELL_0036,,1454,28.606009941423547,77.02852519606093
REC_000103,917404149892,40569151091525,802552083855163,192.168.192.77,74.166.153.137,136.103.105.50,21,FTP,2025-08-23 22:06:00.963175,2025-08-23 22:45:51.963175,31768,46852,CELL_0087,,2391,28.82102367479966,77.0453515539192
REC_000104,917161136344,40590065825001,495206215644197,192.168.42.233,183.239.138.230,238.204.197.119,21,FTP,2025-08-11 09:36:00.963175,2025-08-11 10:12:13.963175,41371,20298,CELL_0021,,2173,28.683307344693752,77.64467703754171
REC_000105,919638452758,40567108577029,870327732903060,192.168.90.44,91.72.197.218,183.229.76.173,5223,WhatsApp,2025-08-21 23:31:00.963175,2025-08-22 00:15:03.963175,2734,140325,CELL_0087,,2643,29.038954505104158,77.07051571967884
REC_000106,918838803826,40541794014249,417719985080213,192.168.255.184,27.177.95.50,174.223.92.41,993,IMAPS,2025-08-12 11:34:00.963175,2025-08-12 12:29:50.963175,11911,159964,CELL_0071,,3350,28.127906071053097,77.20234669429718
REC_000107,918442313267,40598227730302,126035681050959,192.168.167.19,160.189.158.81,190.50.214.191,443,HTTPS/Skype,2025-08-24 06:04:00.963175,2025-08-24 06:19:48.963175,13407,76646,CELL_0025,,948,28.92490585731957,77.4802577891397
REC_000108,918764694871,40569287300744,946284461043410,192.168.153.142,255.103.46.234,110.194.210.192,21,FTP,2025-07-30 06:06:00.963175,2025-07-30 06:47:56.963175,38866,79235,CELL_0079,,2516,29.096162728208608,76.8676765031865
REC_000109,919645196062,40556589023930,769051651221122,192.168.234.25,43.168.15.245,85.181.210.178,443,HTTPS/Skype,2025-08-20 15:49:00.963175,2025-08-20 16:15:20.963175,6086,66027,CELL_0076,,1580,28.51119409503185,77.3426345574621
REC_000110,918764694871,40552453765716,725084569255172,192.168.199.211,221.210.224.44,166.106.175.204,21,FTP,2025-08-12 13:13:00.963175,2025-08-12 13:26:47.963175,32276,80427,CELL_0074,,827,28.177518374212646,77.10838215425416
REC_000111,919337353022,40556077194702,597571184215652,192.168.77.113,92.179.196.200,209.83.99.57,5223,WhatsApp,2025-07-30 09:07:00.963175,2025-07-30 09:11:23.963175,13971,78755,CELL_0001,918893922290,263,28.552111495152094,76.75236976905909
REC_000112,918893922290,40592855382145,162754707565018,192.168.17.6,104.133.19.64,116.116.105.226,25,SMTP,2025-08-15 13:18:00.963175,2025-08-15 13:31:34.963175,45364,136718,CELL_0070,919329185981,814,28.218347371586315,77.0778282282394
